month,barcode,product_name,quantity,consumer_price,purchase_price
7,8809664987939,3CE MULTI EYE COLOR PALETTE #OVERTAKE (MOOD RECIPE),80,39000,18720
,8809664987939,3CE MULTI EYE COLOR PALETTE #OVERTAKE (MOOD RECIPE),20,39000,18720
,8809664980947,3CE MINI MULTI EYE COLOR PALETTE #DIAMOND GLINT,80,26000,12480
,8809664983955,3CE SUPER SLIM WATERPROOF MASCARA #BLACK,10,17000,8160
,8809664984631,[SPLIT SECOND] 3CE EYE SWITCH #HIDDEN ANGLE,20,17000,8160
,8809437393141,3CE SQUARE MINI HAND MIRROR,60,8000,3840
,8809664988127,3CE SOFT MUTE PENCIL LINER #MILK NUDE,30,14000,6720
,8809664988134,3CE SOFT MUTE PENCIL LINER #PALE ROSEWOOD,30,14000,6720
,8809664988141,3CE SOFT MUTE PENCIL LINER #OATMEAL GRAY,30,14000,6720
,8809664988165,3CE SOFT MUTE PENCIL LINER #ACORN BROWN,30,14000,6720
,8809939530990,3CE Drop Glow Gel -Milder,200,18000,8640
,8809939531003,3CE Drop Glow Gel -Very Sure,200,18000,8640
,8809939531010,3CE Drop Glow Gel -Wonder,200,18000,8640
8,8809664987939,3CE MULTI EYE COLOR PALETTE #OVERTAKE (MOOD RECIPE),260,39000,18720
,8809664980909,3CE MINI MULTI EYE COLOR PALETTE #SIDE BY SIDE,260,24000,11520
,8809664980947,3CE MINI MULTI EYE COLOR PALETTE #DIAMOND GLINT,100,26000,12480
,8809664983528,3CE NATURAL FINISH LOOSE POWDER (R),100,24000,11520
,8809664982217,3CE MULTI EYE COLOR PALETTE #DELIGHTFUL,240,39000,18720
,8809664985669,3CE NEW TAKE EYESHADOW PALETTE #MOTION FRAME,50,49000,23520
,8809349990315,3CE SQUARE HAND MIRROR,40,10000,4800
,8809349990353,3CE SQUARE HAND MIRROR,40,10000,4800
,8809437394209,3CE PINK RUMOUR POUCH,50,13000,6240
,8809437394292,3CE SQUARE HAND MIRROR,40,10000,4800
,8809664980299,3CE WASH BAG_SMALL #BLACK ,50,19000,9120
,8809664983474,3CE BLUR WATER TINT #SPOT PLAYER,10,18000,8640
,8809664983511,3CE BLUR WATER TINT #SEPIA,130,18000,8640
,8809664983931,3CE SHIMMER MAKEUP FIXER,20,18000,8640
,8809664984099,3CE WATER MAKE UP BASE #PURPLE,20,26000,12480
,8809664982224,3CE MULTI EYE COLOR PALETTE #SHOT AGAIN,40,39000,18720
,8809437390942,3CE POUCH_SMALL,50,11000,5280
,8809664988219,3CE BLUR WATER TINT #NIGHT TALK,100,18000,8640
,8809939531478,R/ 3CE Shine Reflector-Milky Shadow,40,19000,9120
9,8809437396593,3CE VELVET LIP TINT #CHILDLIKE,300,18000,8640
,8809437396654,3CE VELVET LIP TINT #NEW NUDE,300,18000,8640
,8809664987939,3CE MULTI EYE COLOR PALETTE #OVERTAKE (MOOD RECIPE),320,39000,18720
,8809437399662,3CE MULTI EYE COLOR PALETTE #BEACH MUSE,320,39000,18720
,8809664980886,3CE MINI MULTI EYE COLOR PALETTE #ALMOND FUDGE,240,24000,11520
,8809664980909,3CE MINI MULTI EYE COLOR PALETTE #SIDE BY SIDE,240,24000,11520
,8809664980916,3CE MINI MULTI EYE COLOR PALETTE #BROWN RUM,240,24000,11520
,8809664980923,3CE MINI MULTI EYE COLOR PALETTE #ROSE LATTE,240,24000,11520
,8809664980947,3CE MINI MULTI EYE COLOR PALETTE #DIAMOND GLINT,240,26000,12480
,8809664983528,3CE NATURAL FINISH LOOSE POWDER,100,24000,11520
,8809664982453,3CE MAKEUP FIXER MIST,120,18000,8640
,8809664985126,3CE EASY BROW DESIGNING PENCIL #BROWNIE BROWN,20,17000,8160
,8809437390935,3CE POUCH,50,13000,6240
,8809664980886,3CE MINI MULTI EYE COLOR PALETTE #ALMOND FUDGE,20,24000,10320
,8809664984587,3CE MAKEUP FIX POWDER #CLEAR LIGHT,50,30000,12900
,8809664985126,3CE EASY BROW DESIGNING PENCIL #BROWNIE BROWN,10,17000,7310
,8809939531485,R/ 3CE Shine Reflector -Softest,110,19000,8170
,8809664985133,3CE EASY BROW DESIGNING PENCIL #DEEP BROWN,10,17000,7310
,8809664985478,3CE BLUR WATER TINT #CHASING ROSE ,20,18000,7740
,8809939530341,3CE Face Blush #Kinda Shy,20,18000,7740
,8809664983443,3CE BLUR WATER TINT #CASUAL AFFAIR,30,18000,7740
,8809664984587,3CE MAKEUP FIX POWDER #CLEAR LIGHT,70,30000,12899
,8809437396760,3CE MOOD RECIPE FACE BLUSH #MONO PINK,480,18000,7740
,8809939531485,R/ 3CE Shine Reflector -Softest,80,19000,8170
,8809664987939,3CE MULTI EYE COLOR PALETTE #OVERTAKE (MOOD RECIPE),9960,39000,16770
,8809664988967,3CE HAZY LIP CLAY #WHIP RED,200,20000,8600
10,8809664982217,3CE MULTI EYE COLOR PALETTE #DELIGHTFUL,20,39000,16770
10,8809664985126,3CE EASY BROW DESIGNING PENCIL #BROWNIE BROWN,20,17000,7310
,8809664987359,3CE SKIN FIT COVER LIQUID CONCEALER,10,17000,7310
